Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	4	2	1	23
None	None	0	4	2	2	68
None	None	0	4	2	4	285
None	None	0	16	4	1	164
None	None	0	16	4	2	417
None	None	0	16	4	4	1220
None	None	0	64	8	1	529
None	None	0	64	8	2	1202
None	None	0	64	8	4	2947
None	None	0	256	16	1	1136
None	None	0	256	16	2	2582
None	None	0	256	16	4	6108
GMG	Schwarz(algebraic)	0	4	2	1	20
GMG	Schwarz(algebraic)	0	4	2	2	25
GMG	Schwarz(algebraic)	0	4	2	4	30
GMG	Schwarz(algebraic)	0	16	4	1	34
GMG	Schwarz(algebraic)	0	16	4	2	41
GMG	Schwarz(algebraic)	0	16	4	4	50
GMG	Schwarz(algebraic)	0	64	8	1	43
GMG	Schwarz(algebraic)	0	64	8	2	52
GMG	Schwarz(algebraic)	0	64	8	4	60
GMG	Schwarz(algebraic)	0	256	16	1	57
GMG	Schwarz(algebraic)	0	256	16	2	67
GMG	Schwarz(algebraic)	0	256	16	4	75
GMG	Schwarz(algebraic)	1	4	2	1	17
GMG	Schwarz(algebraic)	1	4	2	2	18
GMG	Schwarz(algebraic)	1	4	2	4	18
GMG	Schwarz(algebraic)	1	16	4	1	31
GMG	Schwarz(algebraic)	1	16	4	2	33
GMG	Schwarz(algebraic)	1	16	4	4	33
GMG	Schwarz(algebraic)	1	64	8	1	38
GMG	Schwarz(algebraic)	1	64	8	2	39
GMG	Schwarz(algebraic)	1	64	8	4	41
GMG	Schwarz(algebraic)	1	256	16	1	45
GMG	Schwarz(algebraic)	1	256	16	2	50
GMG	Schwarz(algebraic)	1	256	16	4	54
GMG	Schwarz(algebraic)	2	4	2	1	2
GMG	Schwarz(algebraic)	2	4	2	2	2
GMG	Schwarz(algebraic)	2	4	2	4	2
GMG	Schwarz(algebraic)	2	16	4	1	20
GMG	Schwarz(algebraic)	2	16	4	2	20
GMG	Schwarz(algebraic)	2	16	4	4	20
GMG	Schwarz(algebraic)	2	64	8	1	30
GMG	Schwarz(algebraic)	2	64	8	2	30
GMG	Schwarz(algebraic)	2	64	8	4	31
GMG	Schwarz(algebraic)	2	256	16	1	39
GMG	Schwarz(algebraic)	2	256	16	2	40
GMG	Schwarz(algebraic)	2	256	16	4	41
GMG	Schwarz(geometric)	0	4	2	1	11
GMG	Schwarz(geometric)	0	4	2	2	12
GMG	Schwarz(geometric)	0	4	2	4	15
GMG	Schwarz(geometric)	0	16	4	1	24
GMG	Schwarz(geometric)	0	16	4	2	26
GMG	Schwarz(geometric)	0	16	4	4	28
GMG	Schwarz(geometric)	0	64	8	1	40
GMG	Schwarz(geometric)	0	64	8	2	44
GMG	Schwarz(geometric)	0	64	8	4	46
GMG	Schwarz(geometric)	0	256	16	1	47
GMG	Schwarz(geometric)	0	256	16	2	55
GMG	Schwarz(geometric)	0	256	16	4	61
GMG	Schwarz(geometric)	1	4	2	1	9
GMG	Schwarz(geometric)	1	4	2	2	9
GMG	Schwarz(geometric)	1	4	2	4	10
GMG	Schwarz(geometric)	1	16	4	1	18
GMG	Schwarz(geometric)	1	16	4	2	19
GMG	Schwarz(geometric)	1	16	4	4	20
GMG	Schwarz(geometric)	1	64	8	1	26
GMG	Schwarz(geometric)	1	64	8	2	26
GMG	Schwarz(geometric)	1	64	8	4	27
GMG	Schwarz(geometric)	1	256	16	1	32
GMG	Schwarz(geometric)	1	256	16	2	33
