Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
GMG	Schwarz(algebraic)	0	4	2	1	20
GMG	Schwarz(algebraic)	0	4	2	2	26
GMG	Schwarz(algebraic)	0	4	2	4	33
GMG	Schwarz(algebraic)	0	16	4	1	36
GMG	Schwarz(algebraic)	0	16	4	2	43
GMG	Schwarz(algebraic)	0	16	4	4	55
GMG	Schwarz(algebraic)	0	64	8	1	42
GMG	Schwarz(algebraic)	0	64	8	2	49
GMG	Schwarz(algebraic)	0	64	8	4	60
GMG	Schwarz(algebraic)	0	256	16	1	45
GMG	Schwarz(algebraic)	0	256	16	2	50
GMG	Schwarz(algebraic)	0	256	16	4	61
GMG	Schwarz(algebraic)	0	1024	32	1	47
GMG	Schwarz(algebraic)	0	1024	32	2	50
GMG	Schwarz(algebraic)	0	1024	32	4	61
GMG	Schwarz(algebraic)	0	4096	64	1	47
GMG	Schwarz(algebraic)	0	4096	64	2	51
GMG	Schwarz(algebraic)	0	4096	64	4	61
GMG	Schwarz(algebraic)	1	4	2	1	19
GMG	Schwarz(algebraic)	1	4	2	2	19
GMG	Schwarz(algebraic)	1	4	2	4	20
GMG	Schwarz(algebraic)	1	16	4	1	30
GMG	Schwarz(algebraic)	1	16	4	2	31
GMG	Schwarz(algebraic)	1	16	4	4	32
GMG	Schwarz(algebraic)	1	64	8	1	38
GMG	Schwarz(algebraic)	1	64	8	2	39
GMG	Schwarz(algebraic)	1	64	8	4	41
GMG	Schwarz(algebraic)	1	256	16	1	47
GMG	Schwarz(algebraic)	1	256	16	2	49
GMG	Schwarz(algebraic)	1	256	16	4	51
GMG	Schwarz(algebraic)	1	1024	32	1	55
GMG	Schwarz(algebraic)	1	1024	32	2	57
GMG	Schwarz(algebraic)	1	1024	32	4	62
GMG	Schwarz(algebraic)	1	4096	64	1	60
GMG	Schwarz(algebraic)	1	4096	64	2	63
GMG	Schwarz(algebraic)	1	4096	64	4	68
GMG	Schwarz(algebraic)	2	4	2	1	8
GMG	Schwarz(algebraic)	2	4	2	2	8
GMG	Schwarz(algebraic)	2	4	2	4	8
GMG	Schwarz(algebraic)	2	16	4	1	22
GMG	Schwarz(algebraic)	2	16	4	2	22
GMG	Schwarz(algebraic)	2	16	4	4	23
GMG	Schwarz(algebraic)	2	64	8	1	30
GMG	Schwarz(algebraic)	2	64	8	2	30
GMG	Schwarz(algebraic)	2	64	8	4	30
GMG	Schwarz(algebraic)	2	256	16	1	40
GMG	Schwarz(algebraic)	2	256	16	2	40
GMG	Schwarz(algebraic)	2	256	16	4	40
GMG	Schwarz(algebraic)	2	1024	32	1	54
GMG	Schwarz(algebraic)	2	1024	32	2	56
GMG	Schwarz(algebraic)	2	1024	32	4	57
GMG	Schwarz(algebraic)	2	4096	64	1	70
GMG	Schwarz(algebraic)	2	4096	64	2	71
GMG	Schwarz(algebraic)	2	4096	64	4	73
GMG	Schwarz(geometric)	0	4	2	1	9
GMG	Schwarz(geometric)	0	4	2	2	11
GMG	Schwarz(geometric)	0	4	2	4	14
GMG	Schwarz(geometric)	0	16	4	1	23
GMG	Schwarz(geometric)	0	16	4	2	28
GMG	Schwarz(geometric)	0	16	4	4	32
GMG	Schwarz(geometric)	0	64	8	1	37
GMG	Schwarz(geometric)	0	64	8	2	44
GMG	Schwarz(geometric)	0	64	8	4	53
GMG	Schwarz(geometric)	0	256	16	1	44
GMG	Schwarz(geometric)	0	256	16	2	51
GMG	Schwarz(geometric)	0	256	16	4	58
GMG	Schwarz(geometric)	0	1024	32	1	46
GMG	Schwarz(geometric)	0	1024	32	2	50
GMG	Schwarz(geometric)	0	1024	32	4	58
GMG	Schwarz(geometric)	0	4096	64	1	46
GMG	Schwarz(geometric)	0	4096	64	2	50
GMG	Schwarz(geometric)	0	4096	64	4	58
GMG	Schwarz(geometric)	1	4	2	1	7
GMG	Schwarz(geometric)	1	4	2	2	8
GMG	Schwarz(geometric)	1	4	2	4	8
GMG	Schwarz(geometric)	1	16	4	1	17
GMG	Schwarz(geometric)	1	16	4	2	18
GMG	Schwarz(geometric)	1	16	4	4	19
GMG	Schwarz(geometric)	1	64	8	1	24
GMG	Schwarz(geometric)	1	64	8	2	25
GMG	Schwarz(geometric)	1	64	8	4	26
GMG	Schwarz(geometric)	1	256	16	1	33
GMG	Schwarz(geometric)	1	256	16	2	33
