Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
GMG	Schwarz(algebraic)	0	4	2	1	20
GMG	Schwarz(algebraic)	0	4	2	2	26
GMG	Schwarz(algebraic)	0	4	2	4	33
GMG	Schwarz(algebraic)	0	16	4	1	36
GMG	Schwarz(algebraic)	0	16	4	2	43
GMG	Schwarz(algebraic)	0	16	4	4	55
GMG	Schwarz(algebraic)	0	64	8	1	42
GMG	Schwarz(algebraic)	0	64	8	2	49
GMG	Schwarz(algebraic)	0	64	8	4	60
GMG	Schwarz(algebraic)	0	256	16	1	45
GMG	Schwarz(algebraic)	0	256	16	2	50
GMG	Schwarz(algebraic)	0	256	16	4	61
GMG	Schwarz(algebraic)	0	1024	32	1	47
GMG	Schwarz(algebraic)	0	1024	32	2	50
GMG	Schwarz(algebraic)	0	1024	32	4	61
GMG	Schwarz(algebraic)	0	4096	64	1	47
GMG	Schwarz(algebraic)	0	4096	64	2	51
GMG	Schwarz(algebraic)	0	4096	64	4	61
GMG	Schwarz(algebraic)	0	16384	128	1	47
GMG	Schwarz(algebraic)	0	16384	128	2	51
GMG	Schwarz(algebraic)	0	16384	128	4	61
