Preconditioner	Smoother	Overlap	num_cells	h	k	Iterations
None	None	0	8	2	1	55
None	None	0	8	2	2	347
None	None	0	64	4	1	558
None	None	0	64	4	2	1810
None	None	0	512	8	1	1278
None	None	0	512	8	2	4181
GMG	Schwarz(algebraic)	0	8	2	1	30
GMG	Schwarz(algebraic)	0	8	2	2	39
GMG	Schwarz(algebraic)	0	64	4	1	43
GMG	Schwarz(algebraic)	0	64	4	2	53
GMG	Schwarz(algebraic)	0	512	8	1	52
GMG	Schwarz(algebraic)	0	512	8	2	65
GMG	Schwarz(algebraic)	1	8	2	1	25
GMG	Schwarz(algebraic)	1	8	2	2	28
GMG	Schwarz(algebraic)	1	64	4	1	50
GMG	Schwarz(algebraic)	1	64	4	2	50
GMG	Schwarz(algebraic)	1	512	8	1	56
GMG	Schwarz(algebraic)	1	512	8	2	57
GMG	Schwarz(geometric)	0	8	2	1	15
GMG	Schwarz(geometric)	0	8	2	2	18
GMG	Schwarz(geometric)	0	64	4	1	38
GMG	Schwarz(geometric)	0	64	4	2	44
GMG	Schwarz(geometric)	0	512	8	1	57
GMG	Schwarz(geometric)	0	512	8	2	64
GMG	Schwarz(geometric)	1	8	2	1	12
GMG	Schwarz(geometric)	1	8	2	2	13
GMG	Schwarz(geometric)	1	64	4	1	27
GMG	Schwarz(geometric)	1	64	4	2	29
GMG	Schwarz(geometric)	1	512	8	1	39
GMG	Schwarz(geometric)	1	512	8	2	40
Schwarz(algebraic)	-	0	8	2	1	32
Schwarz(algebraic)	-	0	8	2	2	45
Schwarz(algebraic)	-	0	64	4	1	140
Schwarz(algebraic)	-	0	64	4	2	164
Schwarz(algebraic)	-	0	512	8	1	271
Schwarz(algebraic)	-	0	512	8	2	331
Schwarz(algebraic)	-	1	8	2	1	16
Schwarz(algebraic)	-	1	8	2	2	18
Schwarz(algebraic)	-	1	64	4	1	50
Schwarz(algebraic)	-	1	64	4	2	50
Schwarz(algebraic)	-	1	512	8	1	60
Schwarz(algebraic)	-	1	512	8	2	59
Schwarz(geometric)	-	0	8	2	1	9
Schwarz(geometric)	-	0	8	2	2	13
Schwarz(geometric)	-	0	64	4	1	43
Schwarz(geometric)	-	0	64	4	2	52
Schwarz(geometric)	-	0	512	8	1	159
Schwarz(geometric)	-	0	512	8	2	195
Schwarz(geometric)	-	1	8	2	1	7
Schwarz(geometric)	-	1	8	2	2	9
Schwarz(geometric)	-	1	64	4	1	27
Schwarz(geometric)	-	1	64	4	2	29
Schwarz(geometric)	-	1	512	8	1	40
Schwarz(geometric)	-	1	512	8	2	41
