Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	8	2	1	82
None	None	0	8	2	2	499
None	None	0	64	4	1	907
None	None	0	64	4	2	3012
None	None	0	512	8	1	2036
None	None	0	512	8	2	6829
GMG	Schwarz(algebraic)	0	8	2	1	34
GMG	Schwarz(algebraic)	0	8	2	2	42
GMG	Schwarz(algebraic)	0	64	4	1	54
GMG	Schwarz(algebraic)	0	64	4	2	60
GMG	Schwarz(algebraic)	0	512	8	1	64
GMG	Schwarz(algebraic)	0	512	8	2	70
GMG	Schwarz(algebraic)	1	8	2	1	26
GMG	Schwarz(algebraic)	1	8	2	2	27
GMG	Schwarz(algebraic)	1	64	4	1	41
GMG	Schwarz(algebraic)	1	64	4	2	44
GMG	Schwarz(algebraic)	1	512	8	1	61
GMG	Schwarz(algebraic)	1	512	8	2	63
GMG	Schwarz(geometric)	0	8	2	1	10
GMG	Schwarz(geometric)	0	8	2	2	15
GMG	Schwarz(geometric)	0	64	4	1	39
GMG	Schwarz(geometric)	0	64	4	2	45
GMG	Schwarz(geometric)	0	512	8	1	49
GMG	Schwarz(geometric)	0	512	8	2	56
GMG	Schwarz(geometric)	1	8	2	1	9
GMG	Schwarz(geometric)	1	8	2	2	11
GMG	Schwarz(geometric)	1	64	4	1	24
GMG	Schwarz(geometric)	1	64	4	2	26
GMG	Schwarz(geometric)	1	512	8	1	38
GMG	Schwarz(geometric)	1	512	8	2	38
Schwarz(algebraic)	-	0	8	2	1	34
Schwarz(algebraic)	-	0	8	2	2	48
Schwarz(algebraic)	-	0	64	4	1	155
Schwarz(algebraic)	-	0	64	4	2	180
Schwarz(algebraic)	-	0	512	8	1	329
Schwarz(algebraic)	-	0	512	8	2	382
Schwarz(algebraic)	-	1	8	2	1	26
Schwarz(algebraic)	-	1	8	2	2	28
Schwarz(algebraic)	-	1	64	4	1	46
Schwarz(algebraic)	-	1	64	4	2	46
Schwarz(algebraic)	-	1	512	8	1	80
Schwarz(algebraic)	-	1	512	8	2	82
Schwarz(geometric)	-	0	8	2	1	9
Schwarz(geometric)	-	0	8	2	2	13
Schwarz(geometric)	-	0	64	4	1	43
Schwarz(geometric)	-	0	64	4	2	51
Schwarz(geometric)	-	0	512	8	1	160
Schwarz(geometric)	-	0	512	8	2	184
Schwarz(geometric)	-	1	8	2	1	8
Schwarz(geometric)	-	1	8	2	2	10
Schwarz(geometric)	-	1	64	4	1	24
Schwarz(geometric)	-	1	64	4	2	26
Schwarz(geometric)	-	1	512	8	1	39
Schwarz(geometric)	-	1	512	8	2	39
