Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	4	2	1	202
None	None	0	4	2	2	465
None	None	0	4	2	4	1290
None	None	0	16	4	1	690
None	None	0	16	4	2	1418
None	None	0	16	4	4	3659
None	None	0	64	8	1	1617
None	None	0	64	8	2	3305
None	None	0	64	8	4	7790
None	None	0	256	16	1	3466
None	None	0	256	16	2	6586
None	None	0	256	16	4	16097
GMG	Schwarz(algebraic)	0	4	2	1	47
GMG	Schwarz(algebraic)	0	4	2	2	61
GMG	Schwarz(algebraic)	0	4	2	4	80
GMG	Schwarz(algebraic)	0	16	4	1	67
GMG	Schwarz(algebraic)	0	16	4	2	82
GMG	Schwarz(algebraic)	0	16	4	4	105
GMG	Schwarz(algebraic)	0	64	8	1	89
GMG	Schwarz(algebraic)	0	64	8	2	111
GMG	Schwarz(algebraic)	0	64	8	4	133
GMG	Schwarz(algebraic)	0	256	16	1	127
GMG	Schwarz(algebraic)	0	256	16	2	162
GMG	Schwarz(algebraic)	0	256	16	4	182
GMG	Schwarz(algebraic)	1	4	2	1	21
GMG	Schwarz(algebraic)	1	4	2	2	22
GMG	Schwarz(algebraic)	1	4	2	4	22
GMG	Schwarz(algebraic)	1	16	4	1	50
GMG	Schwarz(algebraic)	1	16	4	2	53
GMG	Schwarz(algebraic)	1	16	4	4	56
GMG	Schwarz(algebraic)	1	64	8	1	74
GMG	Schwarz(algebraic)	1	64	8	2	82
GMG	Schwarz(algebraic)	1	64	8	4	88
GMG	Schwarz(algebraic)	1	256	16	1	108
GMG	Schwarz(algebraic)	1	256	16	2	124
GMG	Schwarz(algebraic)	1	256	16	4	142
GMG	Schwarz(algebraic)	2	4	2	1	2
GMG	Schwarz(algebraic)	2	4	2	2	2
GMG	Schwarz(algebraic)	2	4	2	4	2
GMG	Schwarz(algebraic)	2	16	4	1	23
GMG	Schwarz(algebraic)	2	16	4	2	24
GMG	Schwarz(algebraic)	2	16	4	4	24
GMG	Schwarz(algebraic)	2	64	8	1	49
GMG	Schwarz(algebraic)	2	64	8	2	51
GMG	Schwarz(algebraic)	2	64	8	4	55
GMG	Schwarz(algebraic)	2	256	16	1	84
GMG	Schwarz(algebraic)	2	256	16	2	90
GMG	Schwarz(algebraic)	2	256	16	4	96
GMG	Schwarz(geometric)	0	4	2	1	40
GMG	Schwarz(geometric)	0	4	2	2	49
GMG	Schwarz(geometric)	0	4	2	4	61
GMG	Schwarz(geometric)	0	16	4	1	66
GMG	Schwarz(geometric)	0	16	4	2	79
GMG	Schwarz(geometric)	0	16	4	4	95
GMG	Schwarz(geometric)	0	64	8	1	89
GMG	Schwarz(geometric)	0	64	8	2	109
GMG	Schwarz(geometric)	0	64	8	4	129
GMG	Schwarz(geometric)	0	256	16	1	121
GMG	Schwarz(geometric)	0	256	16	2	150
GMG	Schwarz(geometric)	0	256	16	4	168
GMG	Schwarz(geometric)	1	4	2	1	17
GMG	Schwarz(geometric)	1	4	2	2	18
GMG	Schwarz(geometric)	1	4	2	4	19
GMG	Schwarz(geometric)	1	16	4	1	38
GMG	Schwarz(geometric)	1	16	4	2	40
GMG	Schwarz(geometric)	1	16	4	4	42
GMG	Schwarz(geometric)	1	64	8	1	63
GMG	Schwarz(geometric)	1	64	8	2	66
GMG	Schwarz(geometric)	1	64	8	4	68
GMG	Schwarz(geometric)	1	256	16	1	93
GMG	Schwarz(geometric)	1	256	16	2	101
GMG	Schwarz(geometric)	1	256	16	4	107
GMG	Schwarz(geometric)	2	4	2	1	2
GMG	Schwarz(geometric)	2	4	2	2	2
GMG	Schwarz(geometric)	2	4	2	4	2
GMG	Schwarz(geometric)	2	16	4	1	25
GMG	Schwarz(geometric)	2	16	4	2	26
GMG	Schwarz(geometric)	2	16	4	4	28
GMG	Schwarz(geometric)	2	64	8	1	46
GMG	Schwarz(geometric)	2	64	8	2	48
GMG	Schwarz(geometric)	2	64	8	4	50
GMG	Schwarz(geometric)	2	256	16	1	76
GMG	Schwarz(geometric)	2	256	16	2	80
GMG	Schwarz(geometric)	2	256	16	4	84
Schwarz(algebraic)	-	0	4	2	1	53
Schwarz(algebraic)	-	0	4	2	2	73
Schwarz(algebraic)	-	0	4	2	4	93
Schwarz(algebraic)	-	0	16	4	1	182
Schwarz(algebraic)	-	0	16	4	2	209
Schwarz(algebraic)	-	0	16	4	4	248
Schwarz(algebraic)	-	0	64	8	1	450
Schwarz(algebraic)	-	0	64	8	2	505
Schwarz(algebraic)	-	0	64	8	4	567
Schwarz(algebraic)	-	0	256	16	1	1047
Schwarz(algebraic)	-	0	256	16	2	1150
Schwarz(algebraic)	-	0	256	16	4	1284
Schwarz(algebraic)	-	1	4	2	1	14
Schwarz(algebraic)	-	1	4	2	2	15
Schwarz(algebraic)	-	1	4	2	4	15
Schwarz(algebraic)	-	1	16	4	1	58
Schwarz(algebraic)	-	1	16	4	2	60
Schwarz(algebraic)	-	1	16	4	4	63
Schwarz(algebraic)	-	1	64	8	1	117
Schwarz(algebraic)	-	1	64	8	2	118
Schwarz(algebraic)	-	1	64	8	4	124
Schwarz(algebraic)	-	1	256	16	1	253
Schwarz(algebraic)	-	1	256	16	2	252
Schwarz(algebraic)	-	1	256	16	4	260
Schwarz(algebraic)	-	2	4	2	1	1
Schwarz(algebraic)	-	2	4	2	2	1
Schwarz(algebraic)	-	2	4	2	4	1
Schwarz(algebraic)	-	2	16	4	1	23
Schwarz(algebraic)	-	2	16	4	2	23
Schwarz(algebraic)	-	2	16	4	4	23
Schwarz(algebraic)	-	2	64	8	1	55
Schwarz(algebraic)	-	2	64	8	2	58
Schwarz(algebraic)	-	2	64	8	4	61
Schwarz(algebraic)	-	2	256	16	1	110
Schwarz(algebraic)	-	2	256	16	2	115
Schwarz(algebraic)	-	2	256	16	4	120
Schwarz(geometric)	-	0	4	2	1	45
Schwarz(geometric)	-	0	4	2	2	54
Schwarz(geometric)	-	0	4	2	4	69
Schwarz(geometric)	-	0	16	4	1	134
Schwarz(geometric)	-	0	16	4	2	152
Schwarz(geometric)	-	0	16	4	4	179
Schwarz(geometric)	-	0	64	8	1	309
Schwarz(geometric)	-	0	64	8	2	346
Schwarz(geometric)	-	0	64	8	4	401
Schwarz(geometric)	-	0	256	16	1	672
Schwarz(geometric)	-	0	256	16	2	746
Schwarz(geometric)	-	0	256	16	4	853
Schwarz(geometric)	-	1	4	2	1	15
Schwarz(geometric)	-	1	4	2	2	16
Schwarz(geometric)	-	1	4	2	4	16
Schwarz(geometric)	-	1	16	4	1	43
Schwarz(geometric)	-	1	16	4	2	44
Schwarz(geometric)	-	1	16	4	4	45
Schwarz(geometric)	-	1	64	8	1	82
Schwarz(geometric)	-	1	64	8	2	84
Schwarz(geometric)	-	1	64	8	4	88
Schwarz(geometric)	-	1	256	16	1	170
Schwarz(geometric)	-	1	256	16	2	173
