Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	4	2	1	230
None	None	0	4	2	2	487
None	None	0	4	2	4	1320
None	None	0	16	4	1	719
None	None	0	16	4	2	1462
None	None	0	16	4	4	3736
None	None	0	64	8	1	1722
None	None	0	64	8	2	3405
None	None	0	64	8	4	5489
None	None	0	256	16	1	3676
None	None	0	256	16	2	7104
None	None	0	256	16	4	10469
GMG	Schwarz(algebraic)	0	4	2	1	45
GMG	Schwarz(algebraic)	0	4	2	2	60
GMG	Schwarz(algebraic)	0	4	2	4	76
GMG	Schwarz(algebraic)	0	16	4	1	66
GMG	Schwarz(algebraic)	0	16	4	2	81
GMG	Schwarz(algebraic)	0	16	4	4	104
GMG	Schwarz(algebraic)	0	64	8	1	75
GMG	Schwarz(algebraic)	0	64	8	2	92
GMG	Schwarz(algebraic)	0	64	8	4	118
GMG	Schwarz(algebraic)	0	256	16	1	80
GMG	Schwarz(algebraic)	0	256	16	2	98
GMG	Schwarz(algebraic)	0	256	16	4	122
GMG	Schwarz(algebraic)	1	4	2	1	27
GMG	Schwarz(algebraic)	1	4	2	2	29
GMG	Schwarz(algebraic)	1	4	2	4	32
GMG	Schwarz(algebraic)	1	16	4	1	50
GMG	Schwarz(algebraic)	1	16	4	2	55
GMG	Schwarz(algebraic)	1	16	4	4	59
GMG	Schwarz(algebraic)	1	64	8	1	72
GMG	Schwarz(algebraic)	1	64	8	2	81
GMG	Schwarz(algebraic)	1	64	8	4	89
GMG	Schwarz(algebraic)	1	256	16	1	84
GMG	Schwarz(algebraic)	1	256	16	2	96
GMG	Schwarz(algebraic)	1	256	16	4	111
GMG	Schwarz(algebraic)	2	4	2	1	9
GMG	Schwarz(algebraic)	2	4	2	2	9
GMG	Schwarz(algebraic)	2	4	2	4	9
GMG	Schwarz(algebraic)	2	16	4	1	31
GMG	Schwarz(algebraic)	2	16	4	2	33
GMG	Schwarz(algebraic)	2	16	4	4	35
GMG	Schwarz(algebraic)	2	64	8	1	52
GMG	Schwarz(algebraic)	2	64	8	2	55
GMG	Schwarz(algebraic)	2	64	8	4	59
GMG	Schwarz(algebraic)	2	256	16	1	80
GMG	Schwarz(algebraic)	2	256	16	2	87
GMG	Schwarz(algebraic)	2	256	16	4	93
GMG	Schwarz(geometric)	0	4	2	1	39
GMG	Schwarz(geometric)	0	4	2	2	47
GMG	Schwarz(geometric)	0	4	2	4	62
GMG	Schwarz(geometric)	0	16	4	1	60
GMG	Schwarz(geometric)	0	16	4	2	75
GMG	Schwarz(geometric)	0	16	4	4	92
GMG	Schwarz(geometric)	0	64	8	1	75
GMG	Schwarz(geometric)	0	64	8	2	94
GMG	Schwarz(geometric)	0	64	8	4	117
GMG	Schwarz(geometric)	0	256	16	1	80
GMG	Schwarz(geometric)	0	256	16	2	100
GMG	Schwarz(geometric)	0	256	16	4	126
GMG	Schwarz(geometric)	1	4	2	1	15
GMG	Schwarz(geometric)	1	4	2	2	17
GMG	Schwarz(geometric)	1	4	2	4	18
GMG	Schwarz(geometric)	1	16	4	1	35
GMG	Schwarz(geometric)	1	16	4	2	38
GMG	Schwarz(geometric)	1	16	4	4	40
GMG	Schwarz(geometric)	1	64	8	1	54
GMG	Schwarz(geometric)	1	64	8	2	58
GMG	Schwarz(geometric)	1	64	8	4	64
GMG	Schwarz(geometric)	1	256	16	1	72
GMG	Schwarz(geometric)	1	256	16	2	78
GMG	Schwarz(geometric)	1	256	16	4	83
GMG	Schwarz(geometric)	2	4	2	1	2
GMG	Schwarz(geometric)	2	4	2	2	2
GMG	Schwarz(geometric)	2	4	2	4	2
GMG	Schwarz(geometric)	2	16	4	1	24
GMG	Schwarz(geometric)	2	16	4	2	24
GMG	Schwarz(geometric)	2	16	4	4	26
GMG	Schwarz(geometric)	2	64	8	1	43
GMG	Schwarz(geometric)	2	64	8	2	45
GMG	Schwarz(geometric)	2	64	8	4	47
GMG	Schwarz(geometric)	2	256	16	1	61
GMG	Schwarz(geometric)	2	256	16	2	67
GMG	Schwarz(geometric)	2	256	16	4	74
Schwarz(algebraic)	-	0	4	2	1	56
Schwarz(algebraic)	-	0	4	2	2	74
Schwarz(algebraic)	-	0	4	2	4	94
Schwarz(algebraic)	-	0	16	4	1	178
Schwarz(algebraic)	-	0	16	4	2	203
Schwarz(algebraic)	-	0	16	4	4	244
