Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
GMG	Schwarz(geometric)	0	4	2	1	39
GMG	Schwarz(geometric)	0	4	2	2	47
GMG	Schwarz(geometric)	0	4	2	4	62
GMG	Schwarz(geometric)	0	16	4	1	60
GMG	Schwarz(geometric)	0	16	4	2	75
GMG	Schwarz(geometric)	0	16	4	4	92
GMG	Schwarz(geometric)	0	64	8	1	75
GMG	Schwarz(geometric)	0	64	8	2	94
GMG	Schwarz(geometric)	0	64	8	4	117
GMG	Schwarz(geometric)	0	256	16	1	80
GMG	Schwarz(geometric)	0	256	16	2	100
GMG	Schwarz(geometric)	0	256	16	4	126
GMG	Schwarz(geometric)	0	1024	32	1	82
GMG	Schwarz(geometric)	0	1024	32	2	103
GMG	Schwarz(geometric)	0	1024	32	4	127
GMG	Schwarz(geometric)	0	4096	64	1	82
GMG	Schwarz(geometric)	0	4096	64	2	103
GMG	Schwarz(geometric)	0	4096	64	4	127
