Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	4	2	0	19	0.186458
GMG	IfPack-Schwarz	0	16	4	0	69	0.32371
GMG	IfPack-Schwarz	0	64	8	0	142	0.525165
GMG	IfPack-Schwarz	0	256	16	0	194	0.861507
GMG	IfPack-Schwarz	0	1024	32	0	237	3.31711
GMG	IfPack-Schwarz	0	4096	64	0	259	30.8512
GMG	IfPack-Schwarz	1	4	2	0	18	0.215108
GMG	IfPack-Schwarz	1	16	4	0	31	0.274532
GMG	IfPack-Schwarz	1	64	8	0	46	0.382135
GMG	IfPack-Schwarz	1	256	16	0	50	0.468235
GMG	IfPack-Schwarz	1	1024	32	0	52	1.28104
GMG	IfPack-Schwarz	1	4096	64	0	56	8.73167
GMG	IfPack-Schwarz	2	4	2	0	8	0.206557
GMG	IfPack-Schwarz	2	16	4	0	21	0.27582
GMG	IfPack-Schwarz	2	64	8	0	31	0.332396
GMG	IfPack-Schwarz	2	256	16	0	44	0.459007
GMG	IfPack-Schwarz	2	1024	32	0	52	1.42131
GMG	IfPack-Schwarz	2	4096	64	0	65	9.70769
GMG	Camellia-Schwarz	0	4	2	0	4	0.188728
GMG	Camellia-Schwarz	0	16	4	0	12	0.222015
GMG	Camellia-Schwarz	0	64	8	0	43	0.41539
GMG	Camellia-Schwarz	0	256	16	0	107	0.67376
GMG	Camellia-Schwarz	0	1024	32	0	149	2.36656
GMG	Camellia-Schwarz	0	4096	64	0	178	22.0339
GMG	Camellia-Schwarz	1	4	2	0	4	0.201182
GMG	Camellia-Schwarz	1	16	4	0	13	0.248338
GMG	Camellia-Schwarz	1	64	8	0	24	0.293768
GMG	Camellia-Schwarz	1	256	16	0	31	0.384311
GMG	Camellia-Schwarz	1	1024	32	0	40	1.14931
GMG	Camellia-Schwarz	1	4096	64	0	51	8.24894
GMG	Camellia-Schwarz	2	4	2	0	2	0.348773
GMG	Camellia-Schwarz	2	16	4	0	12	0.270367
GMG	Camellia-Schwarz	2	64	8	0	21	0.33137
GMG	Camellia-Schwarz	2	256	16	0	26	0.417664
GMG	Camellia-Schwarz	2	1024	32	0	37	1.2308
GMG	Camellia-Schwarz	2	4096	64	0	54	8.63772
GMG	Point-Gauss-Seidel	0	4	2	0	22	0.196566
GMG	Point-Gauss-Seidel	0	16	4	0	66	0.325366
GMG	Point-Gauss-Seidel	0	64	8	0	119	0.482111
GMG	Point-Gauss-Seidel	0	256	16	0	163	0.866186
GMG	Point-Gauss-Seidel	0	1024	32	0	185	2.69359
GMG	Point-Gauss-Seidel	0	4096	64	0	199	24.3638
GMG	Point-Jacobi	0	4	2	0	4	0.157121
GMG	Point-Jacobi	0	16	4	0	13	0.226089
GMG	Point-Jacobi	0	64	8	0	46	0.287171
GMG	Point-Jacobi	0	256	16	0	99	0.559168
GMG	Point-Jacobi	0	1024	32	0	118	1.95554
GMG	Point-Jacobi	0	4096	64	0	120	15.5847
