Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	Schwarz(algebraic)	0	2	2	0	5	0.0516761
GMG	Schwarz(algebraic)	0	4	4	0	10	0.0599766
GMG	Schwarz(algebraic)	0	8	8	0	16	0.0703186
GMG	Schwarz(algebraic)	0	16	16	0	18	0.0768227
GMG	Schwarz(algebraic)	0	32	32	0	18	0.0834955
GMG	Schwarz(algebraic)	0	64	64	0	19	0.103381
GMG	Schwarz(algebraic)	0	128	128	0	19	0.162674
GMG	Schwarz(algebraic)	0	256	256	0	19	0.285808
GMG	Schwarz(algebraic)	0	512	512	0	19	0.726071
GMG	Schwarz(algebraic)	1	2	2	0	2	0.0555426
GMG	Schwarz(algebraic)	1	4	4	0	12	0.074622
GMG	Schwarz(algebraic)	1	8	8	0	15	0.0809254
GMG	Schwarz(algebraic)	1	16	16	0	19	0.0910839
GMG	Schwarz(algebraic)	1	32	32	0	24	0.107641
GMG	Schwarz(algebraic)	1	64	64	0	25	0.129749
GMG	Schwarz(algebraic)	1	128	128	0	25	0.197414
GMG	Schwarz(algebraic)	1	256	256	0	25	0.34893
GMG	Schwarz(algebraic)	1	512	512	0	25	0.893986
GMG	Schwarz(algebraic)	2	2	2	0	1	0.0582145
GMG	Schwarz(algebraic)	2	4	4	0	7	0.0716269
GMG	Schwarz(algebraic)	2	8	8	0	15	0.0871656
GMG	Schwarz(algebraic)	2	16	16	0	18	0.0956872
GMG	Schwarz(algebraic)	2	32	32	0	23	0.111918
GMG	Schwarz(algebraic)	2	64	64	0	28	0.144254
GMG	Schwarz(algebraic)	2	128	128	0	30	0.223711
GMG	Schwarz(algebraic)	2	256	256	0	30	0.40126
GMG	Schwarz(algebraic)	2	512	512	0	31	1.05971
GMG	Schwarz(geometric)	0	2	2	0	3	0.0581701
GMG	Schwarz(geometric)	0	4	4	0	7	0.065454
GMG	Schwarz(geometric)	0	8	8	0	10	0.0717132
GMG	Schwarz(geometric)	0	16	16	0	15	0.0834238
GMG	Schwarz(geometric)	0	32	32	0	21	0.101474
GMG	Schwarz(geometric)	0	64	64	0	22	0.12289
GMG	Schwarz(geometric)	0	128	128	0	22	0.18749
GMG	Schwarz(geometric)	0	256	256	0	22	0.318967
GMG	Schwarz(geometric)	0	512	512	0	22	0.816542
GMG	Schwarz(geometric)	1	2	2	0	1	0.058888
GMG	Schwarz(geometric)	1	4	4	0	5	0.0686593
GMG	Schwarz(geometric)	1	8	8	0	11	0.0801874
GMG	Schwarz(geometric)	1	16	16	0	14	0.0885435
GMG	Schwarz(geometric)	1	32	32	0	18	0.102361
GMG	Schwarz(geometric)	1	64	64	0	25	0.136219
GMG	Schwarz(geometric)	1	128	128	0	27	0.209812
GMG	Schwarz(geometric)	1	256	256	0	28	0.381057
GMG	Schwarz(geometric)	1	512	512	0	28	0.980994
GMG	Schwarz(geometric)	2	2	2	0	1	0.0620536
GMG	Schwarz(geometric)	2	4	4	0	3	0.0706818
GMG	Schwarz(geometric)	2	8	8	0	10	0.0844651
GMG	Schwarz(geometric)	2	16	16	0	13	0.0930051
GMG	Schwarz(geometric)	2	32	32	0	17	0.106666
GMG	Schwarz(geometric)	2	64	64	0	22	0.135976
GMG	Schwarz(geometric)	2	128	128	0	32	0.237646
GMG	Schwarz(geometric)	2	256	256	0	32	0.422457
GMG	Schwarz(geometric)	2	512	512	0	33	1.11689
