Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	64	4	0	127	1.08286
GMG	IfPack-Schwarz	0	512	8	0	233	3.83246
GMG	IfPack-Schwarz	0	4096	16	0	357	78.445
GMG	IfPack-Schwarz	1	64	4	0	67	1.16056
GMG	IfPack-Schwarz	1	512	8	0	90	2.60204
GMG	IfPack-Schwarz	1	4096	16	0	107	40.4446
GMG	Camellia-Schwarz	0	64	4	0	91	1.02402
GMG	Camellia-Schwarz	0	512	8	0	165	3.22107
GMG	Camellia-Schwarz	0	4096	16	0	247	61.8526
GMG	Camellia-Schwarz	1	64	4	0	49	1.31855
GMG	Camellia-Schwarz	1	512	8	0	73	2.57124
GMG	Camellia-Schwarz	1	4096	16	0	84	37.1801
GMG	Point-Gauss-Seidel	0	64	4	0	150	1.19321
GMG	Point-Gauss-Seidel	0	512	8	0	276	4.3158
GMG	Point-Gauss-Seidel	0	4096	16	0	396	84.3221
GMG	Point-Jacobi	0	64	4	0	145	1.13191
GMG	Point-Jacobi	0	512	8	0	237	3.85454
GMG	Point-Jacobi	0	4096	16	0	317	72.4435
