Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	4	2	0	30	0.327667
GMG	IfPack-Schwarz	0	16	4	0	85	0.551732
GMG	IfPack-Schwarz	0	64	8	0	158	0.877769
GMG	IfPack-Schwarz	0	256	16	0	234	1.79702
GMG	IfPack-Schwarz	0	1024	32	0	285	7.69774
GMG	IfPack-Schwarz	0	4096	64	0	331	54.6802
GMG	IfPack-Schwarz	1	4	2	0	22	0.349174
GMG	IfPack-Schwarz	1	16	4	0	38	0.480561
GMG	IfPack-Schwarz	1	64	8	0	56	0.618372
GMG	IfPack-Schwarz	1	256	16	0	65	1.01582
GMG	IfPack-Schwarz	1	1024	32	0	69	3.89625
GMG	IfPack-Schwarz	1	4096	64	0	70	17.2899
GMG	IfPack-Schwarz	2	4	2	0	-1	0.339282
GMG	IfPack-Schwarz	2	16	4	0	23	0.500543
GMG	IfPack-Schwarz	2	64	8	0	39	0.678162
GMG	IfPack-Schwarz	2	256	16	0	53	1.0924
GMG	IfPack-Schwarz	2	1024	32	0	69	4.01376
GMG	IfPack-Schwarz	2	4096	64	0	76	18.0694
GMG	Camellia-Schwarz	0	4	2	0	21	0.338378
GMG	Camellia-Schwarz	0	16	4	0	56	0.513224
GMG	Camellia-Schwarz	0	64	8	0	107	0.764322
GMG	Camellia-Schwarz	0	256	16	0	156	1.47674
GMG	Camellia-Schwarz	0	1024	32	0	193	6.13032
GMG	Camellia-Schwarz	0	4096	64	0	217	38.8866
GMG	Camellia-Schwarz	1	4	2	0	12	0.337172
GMG	Camellia-Schwarz	1	16	4	0	25	0.474957
GMG	Camellia-Schwarz	1	64	8	0	39	0.598598
GMG	Camellia-Schwarz	1	256	16	0	50	0.981799
GMG	Camellia-Schwarz	1	1024	32	0	58	3.74981
GMG	Camellia-Schwarz	1	4096	64	0	64	16.4712
GMG	Camellia-Schwarz	2	4	2	0	2	0.325885
GMG	Camellia-Schwarz	2	16	4	0	18	0.517401
GMG	Camellia-Schwarz	2	64	8	0	29	0.693248
GMG	Camellia-Schwarz	2	256	16	0	45	1.11813
GMG	Camellia-Schwarz	2	1024	32	0	61	3.95826
GMG	Camellia-Schwarz	2	4096	64	0	75	18.2306
GMG	Point-Gauss-Seidel	0	4	2	0	35	0.346079
GMG	Point-Gauss-Seidel	0	16	4	0	87	0.57916
GMG	Point-Gauss-Seidel	0	64	8	0	148	0.879569
GMG	Point-Gauss-Seidel	0	256	16	0	203	1.70102
GMG	Point-Gauss-Seidel	0	1024	32	0	243	6.96353
GMG	Point-Gauss-Seidel	0	4096	64	0	259	43.7571
GMG	Point-Jacobi	0	4	2	0	29	0.325479
GMG	Point-Jacobi	0	16	4	0	79	0.538424
GMG	Point-Jacobi	0	64	8	0	133	0.806041
GMG	Point-Jacobi	0	256	16	0	169	1.51047
GMG	Point-Jacobi	0	1024	32	0	197	6.21246
GMG	Point-Jacobi	0	4096	64	0	215	38.3746
